사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
24-Jan,1호선,150,서울역,1387066,1319919,205868,195790
24-Jan,1호선,151,시청,661167,664612,93522,91704
24-Jan,1호선,152,종각,1013394,987313,148209,138647
24-Jan,1호선,153,종로3가,476713,443607,292109,270252
24-Jan,1호선,154,종로5가,464520,456584,243194,234821
24-Jan,1호선,155,동대문,214959,205635,121212,120182
24-Jan,1호선,156,신설동,280906,272723,118280,115492
24-Jan,1호선,157,제기동,231137,221946,283094,303035
24-Jan,1호선,158,청량리(서울시립대입구),369213,358445,288236,290438
24-Jan,1호선,159,동묘앞,138020,144215,148107,149640
24-Jan,2호선,201,시청,690174,656509,59924,54634
24-Jan,2호선,202,을지로입구,1283294,1325242,106398,99492
24-Jan,2호선,203,을지로3가,646849,641497,75236,73607
24-Jan,2호선,204,을지로4가,310293,315520,79554,78865
24-Jan,2호선,205,동대문역사문화공원(DDP),339444,386982,56929,61475
24-Jan,2호선,206,신당,337710,362225,91909,94375
24-Jan,2호선,207,상왕십리,346293,337298,68470,69192
24-Jan,2호선,208,왕십리(성동구청),393267,358900,52402,46646
24-Jan,2호선,209,한양대,218403,233081,13287,13923
24-Jan,2호선,210,뚝섬,637994,674750,59839,60086
24-Jan,2호선,211,성수,1091332,1187383,104875,106455
24-Jan,2호선,212,건대입구,1001761,1057573,93355,97365
24-Jan,2호선,213,구의(광진구청),612824,597025,106018,106617
24-Jan,2호선,214,강변(동서울터미널),804770,749714,116498,111302
24-Jan,2호선,215,잠실나루,344751,333943,91245,91593
24-Jan,2호선,216,잠실(송파구청),2086902,2056592,211961,204014
24-Jan,2호선,217,잠실새내,568938,567183,114110,113121
24-Jan,2호선,218,종합운동장,192805,209906,44789,46285
24-Jan,2호선,219,삼성(무역센터),1432443,1438374,121176,111109
24-Jan,2호선,220,선릉,1380345,1208652,230601,202889
24-Jan,2호선,221,역삼,1303655,1482665,148728,151698
24-Jan,2호선,222,강남,2255501,2189558,167643,145997
24-Jan,2호선,223,교대(법원.검찰청),724960,869505,149400,177485
24-Jan,2호선,224,서초,541247,519946,86477,85688
24-Jan,2호선,225,방배,365307,378047,75280,74440
24-Jan,2호선,226,사당,977886,1075822,207960,196206
24-Jan,2호선,227,낙성대(강감찬),686807,664420,106551,108454
24-Jan,2호선,228,서울대입구(관악구청),1152523,1141766,181409,171860
24-Jan,2호선,229,봉천,548961,511076,150685,149959
24-Jan,2호선,230,신림,1394665,1339396,199950,197794
24-Jan,2호선,231,신대방,608686,586698,128224,129264
24-Jan,2호선,232,구로디지털단지,1465772,1447805,198759,198684
24-Jan,2호선,233,대림(구로구청),577663,589380,130121,134085
24-Jan,2호선,234,신도림,1240030,1224359,224354,211444
24-Jan,2호선,235,문래,571332,589011,88244,87761
24-Jan,2호선,236,영등포구청,540692,556410,104218,102650
24-Jan,2호선,237,당산,447748,517929,57728,63318
24-Jan,2호선,238,합정,903326,980109,68809,69837
24-Jan,2호선,239,홍대입구,1991465,2128120,98818,96148
24-Jan,2호선,240,신촌,966614,992115,124680,122371
