사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
24-Jan,1호선,150,서울역,665,20,7969,7954,12987,52493,39529,112562,69082,245548,63325,161208,60608,80604,78577,73245,91070,83397,88752,81564,72409,74898,104154,79386,112945,83766,180315,94246,236739,94912,122939,65796,84189,44975,84747,38899,54796,24906,24657,12092,2476,3052,4,184,0,2,0,0
24-Jan,1호선,151,시청,65,0,2188,4984,3634,23116,7149,72316,9326,209070,11333,93796,13810,43553,20536,43305,22441,38816,27617,39711,36252,32999,47966,30649,57144,27607,95474,29343,175728,27185,67934,13524,59870,9055,53388,7713,31369,5346,10830,3222,635,986,0,20,0,0,0,0
24-Jan,1호선,152,종각,154,0,4301,5256,4440,30199,6153,119089,9785,291574,11726,161390,16793,64161,27269,61133,33905,53851,43922,52879,54173,43530,67623,39488,80047,42755,160860,49806,242452,53694,107960,25983,92403,12063,96264,8355,69433,5944,29919,3653,2021,1155,0,1,0,1,0,0
24-Jan,1호선,153,종로3가,207,2,3888,2632,3468,11373,5066,25327,7959,69662,11413,69562,17423,58183,30721,68523,42756,70384,51354,65969,58557,54553,68056,45649,74511,42421,86410,39719,99341,40410,56794,20024,47420,10023,48669,7648,37345,6045,16014,3796,1449,1928,1,26,0,0,0,0
24-Jan,1호선,154,종로5가,31,0,1910,3435,2860,14925,5596,41804,8834,102244,11955,63674,20296,55475,31765,59987,42502,58152,51157,53792,59336,50728,64361,42599,69314,39180,91555,33930,102795,30592,50341,16567,36142,8984,33089,6398,17598,4808,5935,3207,342,922,0,2,0,0,0,0
24-Jan,1호선,155,동대문,901,23,11029,1950,8399,5567,13310,10317,18876,17704,18856,20503,15728,21377,17375,25215,21419,26538,24721,23840,26075,23605,26305,21355,27771,20299,25763,19744,23563,20708,15648,18800,13634,12906,12223,11907,9509,11770,4510,8733,553,2761,3,195,0,0,0,0
24-Jan,1호선,156,신설동,373,37,9007,1995,9470,8563,20405,20681,30428,57315,19764,33089,16468,20536,18639,18699,21827,19048,24263,19474,23021,18669,24271,20070,29273,21159,40530,23491,54636,30582,20190,22818,13534,15171,11187,14319,7985,12091,3595,7943,320,2462,0,2,0,1,0,0
24-Jan,1호선,157,제기동,471,14,5041,2103,8277,8504,20381,19861,32704,37185,22261,31961,23084,36440,31460,46717,41271,50801,44637,52905,48579,49917,53018,39759,51224,33535,43828,27577,38465,27609,19698,19451,12881,12490,8597,11179,5857,9448,2329,5834,168,1691,0,0,0,0,0,0
24-Jan,1호선,158,청량리(서울시립대입구),908,43,10269,2414,16782,10324,45438,15525,58073,35126,35082,31268,29883,36791,36232,47097,42871,51953,46995,53992,50625,53867,56478,50603,59405,45497,53432,44588,45011,56295,23579,36920,18484,22896,14513,21573,9636,17823,3536,10764,217,3523,0,1,0,0,0,0
24-Jan,1호선,159,동묘앞,214,1,2921,933,3357,4411,7520,6813,12389,15362,9993,15756,10629,19627,15641,28217,22585,32155,28736,35064,32425,31256,34362,26382,34251,19185,29225,13681,19143,11658,8433,8719,5453,6410,4282,6083,3273,5864,1183,4065,109,1988,3,225,0,0,0,0
24-Jan,2호선,201,시청,53,1,924,1738,2278,18319,5315,78076,7955,243642,10573,97596,16365,31416,22486,27838,22590,26657,28660,28983,34418,25848,42226,23599,52537,20802,108481,23359,185183,23864,68096,12528,52388,8050,47714,7285,28919,6171,11506,4059,1428,1250,3,61,0,1,0,0
24-Jan,2호선,202,을지로입구,81,3,2555,2938,4598,30020,10388,140590,17169,369891,21339,171237,27986,90052,38226,70018,43526,62716,54895,63498,64924,57642,78694,55358,92627,56464,174870,65864,299565,67089,138728,40033,133571,25210,87087,22753,67952,18293,27491,10803,3420,3496,0,765,0,1,0,0
24-Jan,2호선,203,을지로3가,22,1,1315,1943,2829,19954,6429,78960,11942,192344,14092,76975,17855,33769,22415,28880,23873,26922,27738,29713,32267,26324,36772,25783,45601,29015,98035,35412,151507,40865,63483,24488,47762,13818,50695,11628,41074,10326,22521,6297,3855,1607,3,80,0,0,0,0
24-Jan,2호선,204,을지로4가,29,1,885,1119,1997,13747,5367,36483,10385,81131,10366,40491,12686,25025,16160,24392,17860,22214,20434,21927,23102,20361,26419,17886,32627,16342,63078,16894,71230,16712,29416,11068,17491,7897,14970,7536,9659,7117,4753,4601,932,1415,1,26,0,0,0,0
24-Jan,2호선,205,동대문역사문화공원(DDP),311,1,5444,1287,3993,8737,6836,18541,11823,45048,12632,30056,13820,28078,16581,26578,20438,28335,21006,28399,24873,29429,29456,26789,34086,25251,44055,27510,48316,30735,29912,29609,21962,20866,21411,17033,18614,14093,9069,9031,1733,2972,2,79,0,0,0,0
24-Jan,2호선,206,신당,38,3,6413,1107,11471,8486,28170,14167,50338,29321,29529,21739,19153,18086,17743,20791,21630,22279,22623,23640,22114,24379,24189,25400,27426,30446,31548,39883,33263,59856,23286,38697,18263,23780,17140,20603,15926,18664,7926,11527,1427,3698,3,47,0,1,0,0
24-Jan,2호선,207,상왕십리,59,0,5792,812,13115,5691,40851,11535,67243,30170,37992,18663,22417,13429,20614,12885,21542,14717,20698,16518,19271,18056,19845,19779,20997,24057,26112,35696,27365,57851,18335,39901,11461,25057,10376,22963,7046,21327,3171,13057,461,4280,0,46,0,0,0,0
24-Jan,2호선,208,왕십리(성동구청),716,11,6279,898,9818,8391,24898,11701,45345,26683,28319,18658,18067,14927,17864,16451,21119,17553,22197,19608,21545,20425,22712,21833,27371,25626,33007,36013,35137,58013,22569,35095,22120,21091,25404,18567,25546,17470,13334,11827,2301,4626,1,79,0,0,0,0
24-Jan,2호선,209,한양대,4,0,896,539,2201,6418,5166,9501,9370,33002,6256,46176,5678,20994,9462,11801,10152,18389,14743,18059,12573,16197,15506,9469,24343,8945,38139,9250,32913,10366,13747,7192,9189,5293,8712,5373,7224,5087,4373,3745,1043,1195,0,13,0,0,0,0
24-Jan,2호선,210,뚝섬,6,0,3123,2518,7793,17205,17158,41817,26798,148056,16707,100438,15299,46381,17287,37875,21391,35883,25995,37657,31530,33884,38758,34581,48843,35333,83706,39614,143811,47436,70131,27665,46806,14888,42334,12469,27834,11094,10933,7473,1585,2519,5,50,0,0,0,0
24-Jan,2호선,211,성수,63,2,5396,3558,9038,33758,21336,75441,30243,274292,23637,162791,20935,77448,24502,62632,31084,68389,40130,71603,50778,70682,62917,68717,83192,67222,145132,69030,266698,74807,129006,43405,91277,21138,78979,16507,55876,14540,22553,10829,3426,6159,9,888,0,0,0,0
24-Jan,2호선,212,건대입구,359,19,16549,2061,22530,15262,53965,23645,95483,58821,62844,54094,38594,41129,37493,47136,42594,55297,47438,60607,48984,60278,54558,67110,62053,79491,76230,106960,90170,157904,68143,108317,67910,64433,74580,57979,78506,52206,48086,30497,8043,10849,4,843,0,0,0,0
24-Jan,2호선,213,구의(광진구청),49,4,13853,1448,25907,25349,68566,16284,120776,41397,75193,23066,37982,19312,31033,19975,33488,23289,33031,27121,29622,29130,31536,36692,40488,43133,43569,59547,46616,101091,24980,73260,19279,47472,16988,44256,15850,40808,8629,23550,1407,7334,0,124,0,0,0,0
24-Jan,2호선,214,강변(동서울터미널),16,1,9033,1973,27278,18327,77773,21130,118198,39563,86916,33994,65301,35153,57913,34583,53280,38010,52052,43181,46472,48200,47264,55183,50296,61693,54529,78294,58173,108897,39661,79125,29433,53042,24827,43932,15490,39789,6363,21367,1000,5433,0,146,0,0,0,0
24-Jan,2호선,215,잠실나루,17,0,3167,3115,12394,16906,35588,23238,47796,40719,32241,27308,25776,21096,26081,18344,25144,22284,23289,23123,24893,20870,27631,20844,37151,21671,39441,28603,31988,41379,15271,30645,11218,18989,8393,17678,5682,16737,2452,9349,381,2573,2,65,0,0,0,0
24-Jan,2호선,216,잠실(송파구청),102,6,13323,5111,51811,34268,121250,81776,173512,181291,125493,166580,82718,122966,83856,122753,92390,116940,102433,119361,111969,118708,130297,128711,153563,142173,195384,184191,242265,247320,170164,160512,167573,100536,144983,90802,101012,82043,30141,45187,4620,9229,4,142,0,0,0,0
24-Jan,2호선,217,잠실새내,50,3,5606,944,17648,8297,56231,14670,81986,30325,54157,33003,34801,25864,34157,27049,35950,30864,35907,35124,32978,37395,35847,41656,36497,47101,41828,64905,45276,93309,33253,65513,29122,38876,27815,33545,27166,30475,14427,16410,2343,4911,3,65,0,0,0,0
24-Jan,2호선,218,종합운동장,17,5,1661,1106,6210,9137,15406,12781,24181,18739,17291,14715,12200,11290,10997,8911,11901,12176,11130,14825,14889,15551,14124,16957,15790,14899,15236,18353,18652,29287,9809,18749,16799,11475,12072,10284,6495,9754,2337,5557,397,1556,0,84,0,0,0,0
24-Jan,2호선,219,삼성(무역센터),168,0,4621,5556,6704,43919,14094,141261,18934,348674,20335,261782,23617,116035,35276,82641,43319,75414,58074,81437,74566,67950,96569,59576,126699,55024,226457,60778,321392,62092,164633,32643,125429,18146,104534,14440,67906,11186,17933,6267,2359,3625,0,1037,0,0,0,0
24-Jan,2호선,220,선릉,173,5,4734,6448,11492,40576,20591,122083,34213,295297,32346,234350,34657,110282,45063,69494,54206,64418,64622,73125,77592,59189,100655,52019,130460,50475,214326,54998,315189,61974,159873,38808,100763,23593,96475,20694,80359,17787,28773,10998,4384,4726,0,202,0,0,0,0
24-Jan,2호선,221,역삼,65,1,3556,7405,9061,45515,15217,164866,26883,391667,23682,320147,24310,134686,32677,70841,40913,61407,49261,68531,60483,52899,80630,46817,106108,44254,235578,53050,306679,62173,167420,38153,97153,23470,87984,18841,58076,16293,22840,9901,3802,3370,5,76,0,0,0,0
24-Jan,2호선,222,강남,155,12,9127,12101,18360,57103,40004,159689,64299,315253,52617,343380,53099,163056,71272,111573,91496,108465,110565,127216,121968,111445,147769,106767,175313,109387,258907,142923,338484,188765,228121,109355,174832,57286,196044,45131,172933,37679,83163,22353,14609,6470,7,146,0,0,0,0
24-Jan,2호선,223,교대(법원.검찰청),28,0,2293,6889,11026,23497,23358,54689,37451,160682,27467,141951,25896,69653,31061,61146,33740,55485,42426,57777,51377,51460,54068,46983,59776,48165,100768,64266,139953,75797,65902,42797,53244,25352,53271,23158,41735,21993,16272,11810,3247,3405,1,35,0,0,0,0
24-Jan,2호선,224,서초,3,0,1959,4213,9099,21973,18236,52076,28408,117117,27764,94226,20706,43970,28205,35605,24964,25760,33918,28431,35631,25661,42239,21623,46535,22683,75690,25430,99784,27478,46989,19055,32759,12002,29359,10893,18868,10411,5793,5589,814,1417,1,21,0,0,0,0
24-Jan,2호선,225,방배,13,0,2274,2848,8504,11180,21326,24918,30642,68637,23917,45269,18119,23206,18967,19867,20664,21528,23279,22337,24366,21716,26322,21601,30399,21993,43071,28296,60977,35427,26178,25540,20805,16370,19197,14996,14539,15486,5775,8717,1252,2524,1,31,0,0,0,0
24-Jan,2호선,226,사당,126,5,12152,4279,27681,34846,77352,43128,98475,67397,77120,48943,48388,42742,44702,55936,51777,56039,53303,51721,59244,52695,64042,63246,66217,83986,81712,124752,101818,178432,70077,122156,65117,71099,72604,62687,68962,60066,38697,36669,6270,10577,10,627,0,0,0,0
24-Jan,2호선,227,낙성대(강감찬),29,1,11451,2210,26061,9491,83616,15075,129102,38755,83735,32801,43716,25117,37283,25090,40547,25892,40083,28283,34943,31143,34466,37291,37235,42928,43999,60472,51613,105261,27982,90896,21980,57533,20130,51962,15742,51991,8187,31261,1458,9179,0,242,0,0,0,0
24-Jan,2호선,228,서울대입구(관악구청),5231,23,28149,2389,42776,13312,129202,25049,175071,66873,119468,59090,67954,48159,58558,46925,64785,48714,70260,54417,60603,57626,63009,66420,68196,77992,78727,107067,90847,177472,52901,147384,44948,87808,45897,80909,41205,77344,22247,47336,3898,18317,0,3000,0,0,0,0
24-Jan,2호선,229,봉천,68,3,15110,1853,28268,7209,84135,11754,122862,26573,74906,20339,43259,18888,33447,22617,35554,24177,34939,26332,32699,29813,29967,38593,31482,43088,32448,56953,33262,90429,20019,78632,16380,48934,14210,43212,11178,39138,4500,24028,948,8213,5,257,0,0,0,0
24-Jan,2호선,230,신림,184,7,37141,4094,67551,15911,184569,22685,270495,42261,160415,41405,88168,39072,72548,43859,77476,49499,74461,56646,68611,62470,67301,77955,71272,97338,75393,130138,79571,220791,52173,198418,43898,125871,41662,114595,36156,105298,21259,67548,4303,21097,8,232,0,0,0,0
24-Jan,2호선,231,신대방,201,2,23478,1790,33448,8985,88260,14101,133804,24664,82901,18260,44710,17969,36678,19101,36336,21889,34477,26109,30593,29598,30154,39890,31763,45119,33419,60993,33115,95155,20054,83781,15631,57101,12500,58614,9809,53303,4677,30131,897,9206,5,201,0,0,0,0
24-Jan,2호선,232,구로디지털단지,215,8,37146,5003,51953,20076,142714,84510,186841,234879,113673,145022,68180,62879,62093,47147,67932,51016,69326,61993,62969,60163,69447,67170,83134,81604,140687,109006,217621,167165,105819,137211,65249,87176,54270,84137,42975,79674,18890,46677,3394,13681,3,292,0,0,0,0
